date,def_2015,def_2020,gdp_2015,gdp_2020,cons_2015,cons_2020,民間住宅_15,民間住宅_20,民間企業設備_15,民間企業設備_20,政府最終消費支出_15,政府最終消費支出_20,公的固定資本形成_15,公的固定資本形成_20
1980-01-01,91.2,,"269,747.50",,"153,290.70",,"26,716.20",,"38,097.50",,"44,078.70",,"29,252.60",
1980-04-01,93.4,,"268,521.80",,"153,551.90",,"26,367.90",,"38,403.60",,"44,442.90",,"27,925.80",
1980-07-01,94.4,,"274,183.10",,"155,580.00",,"25,824.50",,"38,223.40",,"44,895.00",,"28,018.60",
1980-10-01,95.4,,"279,601.80",,"156,162.40",,"25,285.00",,"39,227.70",,"45,386.40",,"29,858.20",
1981-01-01,95.6,,"281,995.70",,"156,757.70",,"25,392.50",,"39,542.00",,"46,006.40",,"30,329.80",
1981-04-01,96,,"284,608.90",,"157,847.80",,"25,775.20",,"39,613.70",,"47,040.20",,"29,105.90",
1981-07-01,96.3,,"285,942.50",,"159,682.30",,"26,006.70",,"40,065.90",,"47,462.60",,"29,711.90",
1981-10-01,97.2,,"287,332.50",,"160,944.90",,"25,008.90",,"40,802.20",,"48,021.80",,"29,339.10",
1982-01-01,98,,"291,317.90",,"163,527.50",,"24,598.50",,"39,889.80",,"48,576.80",,"29,355.10",
1982-04-01,97.8,,"293,210.10",,"165,961.70",,"24,916.10",,"40,906.90",,"48,806.50",,"29,337.40",
1982-07-01,98.2,,"294,403.10",,"165,446.50",,"25,446.40",,"40,859.10",,"49,279.40",,"29,241.30",
1982-10-01,98.1,,"298,564.00",,"169,710.90",,"25,937.90",,"40,325.70",,"49,733.80",,"29,193.80",
1983-01-01,98.7,,"300,698.40",,"169,912.20",,"26,347.00",,"40,697.80",,"50,793.20",,"29,235.50",
1983-04-01,98.9,,"302,998.90",,"170,636.70",,"24,236.20",,"41,905.70",,"51,072.70",,"29,029.80",
1983-07-01,98.9,,"307,080.60",,"173,012.60",,"24,263.10",,"41,853.40",,"51,589.60",,"29,622.70",
1983-10-01,99.2,,"309,255.00",,"173,566.10",,"24,446.70",,"42,027.60",,"51,982.30",,"29,439.50",
1984-01-01,99.8,,"312,154.40",,"174,494.80",,"24,359.20",,"43,411.50",,"52,434.30",,"28,849.00",
1984-04-01,100,,"318,660.40",,"176,546.00",,"24,178.90",,"43,935.30",,"53,101.60",,"31,906.00",
1984-07-01,100.5,,"321,010.10",,"178,488.10",,"24,295.70",,"45,676.30",,"53,165.80",,"28,500.30",
1984-10-01,101.1,,"322,193.90",,"178,603.30",,"24,210.20",,"47,271.50",,"52,860.50",,"28,232.00",
1985-01-01,101.4,,"326,534.90",,"181,469.20",,"24,450.90",,"48,162.30",,"52,920.90",,"27,151.50",
1985-04-01,101.7,,"332,613.10",,"183,898.90",,"25,243.40",,"47,670.90",,"53,302.00",,"29,395.90",
1985-07-01,101.5,,"337,565.20",,"184,437.20",,"25,128.50",,"50,031.30",,"53,790.50",,"29,523.10",
1985-10-01,101.8,,"342,907.70",,"188,186.30",,"24,828.80",,"50,809.50",,"54,234.10",,"29,182.90",
1986-01-01,102.7,,"343,060.20",,"189,128.70",,"25,279.40",,"50,526.60",,"54,237.50",,"30,219.90",
1986-04-01,103.3,,"344,100.20",,"189,911.10",,"26,022.30",,"52,292.70",,"53,881.10",,"30,351.90",
1986-07-01,103.6,,"346,522.10",,"192,795.90",,"27,007.50",,"52,479.80",,"55,276.20",,"31,413.60",
1986-10-01,103.3,,"350,553.60",,"193,412.30",,"27,750.00",,"53,324.80",,"57,698.40",,"31,847.90",
1987-01-01,103.1,,"351,752.80",,"196,351.90",,"28,513.60",,"53,399.20",,"56,360.30",,"32,004.60",
1987-04-01,102.9,,"357,860.30",,"197,542.10",,"30,209.70",,"55,099.80",,"57,378.50",,"32,066.20",
1987-07-01,103.2,,"364,386.40",,"200,463.40",,"31,966.00",,"56,587.00",,"57,665.70",,"33,703.60",
1987-10-01,103.1,,"373,720.10",,"204,264.20",,"33,703.00",,"57,695.70",,"57,665.90",,"36,097.60",
1988-01-01,103.7,,"379,496.10",,"205,516.10",,"34,643.00",,"60,442.10",,"58,814.50",,"36,043.70",
1988-04-01,103.3,,"382,265.80",,"209,801.90",,"34,025.80",,"63,377.70",,"59,265.40",,"35,390.00",
1988-07-01,103.8,,"389,314.50",,"210,713.10",,"33,458.00",,"67,368.60",,"59,732.80",,"34,792.40",
1988-10-01,104.1,,"393,577.30",,"212,906.10",,"33,956.50",,"69,459.20",,"60,004.80",,"34,113.30",
1989-01-01,104.5,,"402,905.10",,"218,972.50",,"34,939.70",,"72,477.10",,"60,389.60",,"35,939.60",
1989-04-01,105.6,,"398,116.10",,"215,371.60",,"33,825.30",,"70,463.80",,"60,763.60",,"35,048.20",
1989-07-01,106.3,,"404,303.00",,"220,302.80",,"33,505.60",,"72,188.40",,"61,024.10",,"36,444.20",
1989-10-01,106.9,,"415,327.20",,"226,455.20",,"33,396.90",,"75,520.20",,"61,587.80",,"36,796.80",
1990-01-01,107.5,,"413,087.80",,"224,501.40",,"32,808.40",,"75,892.40",,"62,095.10",,"37,807.80",
1990-04-01,108.2,,"423,196.90",,"231,693.60",,"32,317.50",,"79,288.30",,"63,015.00",,"36,412.50",
1990-07-01,108.5,,"431,784.60",,"234,420.90",,"34,136.60",,"80,892.90",,"63,193.30",,"37,519.10",
1990-10-01,109.8,,"431,509.40",,"232,648.90",,"34,106.20",,"82,059.20",,"63,979.80",,"38,866.50",
1991-01-01,110.5,,"436,154.50",,"232,605.50",,"33,351.90",,"85,559.80",,"64,958.50",,"37,765.90",
1991-04-01,111.4,,"439,945.20",,"236,057.60",,"32,212.30",,"84,596.00",,"65,212.10",,"36,706.20",
1991-07-01,111.9,,"439,926.10",,"236,029.00",,"30,633.60",,"84,373.40",,"65,792.00",,"38,160.00",
1991-10-01,112.8,,"443,289.70",,"239,238.10",,"29,514.90",,"84,229.50",,"66,418.80",,"40,199.50",
1992-01-01,113.1,,"442,616.70",,"241,073.80",,"29,772.50",,"79,941.70",,"66,788.60",,"41,068.70",
1992-04-01,113.9,,"443,963.80",,"241,017.70",,"30,251.20",,"80,309.60",,"66,904.80",,"44,407.80",
1992-07-01,113.7,,"445,645.20",,"241,759.40",,"29,957.40",,"78,462.10",,"67,459.50",,"44,999.60",
1992-10-01,113.8,,"442,920.20",,"240,592.40",,"29,540.70",,"76,046.00",,"68,273.90",,"44,374.70",
1993-01-01,114.1,,"445,162.30",,"243,647.90",,"28,899.80",,"75,111.20",,"69,155.30",,"46,435.80",
1993-04-01,113.9,,"441,409.60",,"242,075.80",,"29,125.60",,"71,127.10",,"69,529.70",,"46,941.50",
1993-07-01,114.2,,"439,390.10",,"242,585.10",,"30,044.50",,"67,312.40",,"69,910.80",,"47,916.60",
1993-10-01,114.5,,"441,089.00",,"247,529.40",,"31,544.60",,"64,217.10",,"70,053.70",,"48,261.20",
1994-01-01,114.3,112.2,"446,312.90","465,063.80","247,538.10","252,337.80","29,812.00","33,377.10","66,259.20","75,393.70","71,357.30","70,667.60","47,106.20","47,225.50"
1994-04-01,114.7,112.6,"443,745.80","461,491.70","248,757.60","253,541.70","31,118.50","34,755.70","66,065.00","74,417.60","72,243.70","71,468.00","48,020.20","48,073.20"
1994-07-01,114.3,112.2,"448,947.20","466,136.10","250,618.80","255,484.80","33,628.10","37,290.90","65,999.20","73,966.80","72,789.00","71,993.60","46,302.40","46,318.20"
1994-10-01,114.4,112.4,"447,169.50","464,397.00","250,778.20","255,657.70","32,218.20","35,860.30","67,028.90","74,798.90","72,950.00","72,005.20","45,588.40","45,543.60"
1995-01-01,113.9,111.8,"452,118.90","468,894.70","252,932.40","257,636.20","31,121.50","34,856.80","68,647.70","75,800.80","74,470.40","73,871.20","43,641.20","43,860.70"
