date,新発10年国債利回り
S61.12.1,5.43
S61.12.2,5.43
S61.12.3,5.396
S61.12.4,5.371
S61.12.5,5.337
S61.12.6,5.362
S61.12.8,5.37
S61.12.9,5.369
S61.12.10,5.362
S61.12.11,5.387
S61.12.12,5.395
S61.12.15,5.445
S61.12.16,5.428
S61.12.17,5.394
S61.12.18,5.377
S61.12.19,5.369
S61.12.22,5.374
S61.12.23,5.373
S61.12.24,5.356
S61.12.25,5.347
S61.12.26,5.356
S61.12.27,5.364
S62.1.5,5.29
S62.1.6,5.281
S62.1.7,5.254
S62.1.8,5.227
S62.1.9,5.21
S62.1.12,5.214
S62.1.13,5.222
S62.1.14,5.215
S62.1.16,5.202
S62.1.19,5.198
S62.1.20,5.186
S62.1.21,5.239
S62.1.22,5.212
S62.1.23,5.211
S62.1.24,5.185
S62.1.26,5.19
S62.1.27,5.19
S62.1.28,5.134
S62.1.29,5.1
S62.1.30,5.168
S62.1.31,5.152
S62.2.2,5.138
S62.2.3,5.17
S62.2.4,5.121
S62.2.5,5.122
S62.2.6,5.139
S62.2.7,5.146
S62.2.9,5.128
S62.2.10,5.167
S62.2.12,5.18
S62.2.13,5.248
S62.2.16,5.292
S62.2.17,5.294
S62.2.18,5.281
S62.2.19,5.209
S62.2.20,5.151
S62.2.23,5.164
S62.2.24,5.155
S62.2.25,5.172
S62.2.26,5.171
S62.2.27,5.189
S62.2.28,5.088
S62.3.2,4.943
S62.3.3,4.912
S62.3.4,4.921
S62.3.5,4.909
S62.3.6,4.899
S62.3.7,4.903
S62.3.9,4.874
S62.3.10,4.871
S62.3.11,4.762
S62.3.12,4.717
S62.3.13,4.708
S62.3.16,4.608
S62.3.17,4.603
S62.3.18,4.606
S62.3.19,4.586
S62.3.20,4.562
S62.3.23,4.536
S62.3.24,4.588
S62.3.25,4.601
S62.3.26,4.639
S62.3.27,4.54
S62.3.28,4.456
S62.3.30,4.473
S62.3.31,4.485
S62.4.1,4.585
S62.4.2,4.542
S62.4.3,4.525
S62.4.4,4.442
S62.4.6,4.407
S62.4.7,4.255
S62.4.8,4.298
S62.4.9,4.328
S62.4.10,4.235
S62.4.13,4.269
S62.4.14,4.345
S62.4.15,4.329
S62.4.16,4.301
S62.4.17,4.32
S62.4.20,4.335
S62.4.21,4.347
S62.4.22,4.342
S62.4.23,4.246
S62.4.24,4.055
S62.4.25,4.013
S62.4.27,4.108
S62.4.28,4.158
S62.4.30,4.104
S62.5.1,4.118
S62.5.2,3.97
S62.5.6,3.93
S62.5.7,3.904
S62.5.8,3.768
S62.5.11,3.695
S62.5.12,3.467
S62.5.13,3.462
S62.5.14,3.492
S62.5.15,3.83
S62.5.18,3.965
S62.5.19,3.946
S62.5.20,3.863
S62.5.21,3.847
S62.5.22,3.814
